main_cate_name,sub_cate_name,ranking,title,ori_price,dis_price,discount_percent
도서/음반,ALL,2,플레이 팩토 보드게임 6종 선택구매/도형 수연산 전략 문제해결 관찰 분석 사고력향상,33000,33000,0
도서/음반,ALL,3,Easy/Subject/insight Link/각 단계별 3권구성 선택,128250,85500,33
도서/음반,ALL,4,씨투엠 수학 교구상자 펜토미노턴/큐브빌드 선택구매(워크북포함)(NEW),65000,43500,33
도서/음반,ALL,5,고녀석 맛있겠다 세트(전12권)(양장)(재정가),88000,85420,2
스포츠/자동차,자동차용품,2,[엠피온]엠피온 SET-525 무선하이패스 단말기 태양광거치대포함,54900,54900,0
스포츠/자동차,자동차용품,3,베스트라인 엔진 코팅제 오일첨가제 아이큐샵,45800,22900,50
스포츠/자동차,자동차용품,4,[지엠지모터스]퀼팅가죽 4D트렁크매트+뒷열 풀셋 차박매트 카매트,77800,33850,56
스포츠/자동차,등산/아웃도어,2,[네파]네파 FW 간절기 자켓/티셔츠/팬츠 프리뷰 특가전,146600,44000,69
스포츠/자동차,등산/아웃도어,3,[네파](신세계마산점)네파 - 19F/W 남녀 스테이트 패딩 베스트 - 7F514017F61401,30000,24000,20
스포츠/자동차,등산/아웃도어,4,[블랙야크]한겨울 남녀공용 구스 롱다운자켓 롱다운3종_BON,125000,95000,24
스포츠/자동차,구기/라켓,8,지아이엘 국제규격 탁구대 고정식 이동식 접이식 세트,198000,192060,3
스포츠/자동차,구기/라켓,9,스포타임 킨볼 용품 모음 - 킨볼공인구 1.2M 1M 0.8M,229000,229000,0
스포츠/자동차,구기/라켓,10,[세베로]아디다스 요넥스 일체형 배드민턴라켓 2pcs+셔틀콕5입,30000,29800,0
스포츠/자동차,캠핑/낚시,2,[넘버엔]1+1 넘버엔 릴렉스 체어 프로 /캠핑 낚시 접이식 의자,61100,61100,0
스포츠/자동차,캠핑/낚시,3,[네이처하이크]Naturehike 야전침대 캠핑용 초경량 접이식침대 베이지,98000,98000,0
