maincategory_name,subcategory_name,ranking,title,ori_price,dis_price,discount_percent
도서/음반,인문/사회/과학/IT,31,아내를 모자로 착각한 남자(개정판)(양장본 HardCover),16650,16650,0
도서/음반,인문/사회/과학/IT,32,하루 10분 인문학,16200,16200,0
도서/음반,인문/사회/과학/IT,33,노화의 종말 : 하버드 의대 수명 혁명 프로젝트  러플랜트,19800,19800,0
도서/음반,인문/사회/과학/IT,34,총 균 쇠,25200,25200,0
도서/음반,인문/사회/과학/IT,35,마인크래프트 가이드 컬렉션 - 탐험+크리에이티브+레드스톤+네더와엔드,32400,32400,0
도서/음반,해외원서,76,Hand in Hand Starter.1.2.3.4 Student Book / Workbook 레벨선택가능,14400,14400,0
도서/음반,해외원서,77,플라이 가이 Fly Guy   Buzz Deluxe Set (with 2 CDs),43920,43920,0
도서/음반,해외원서,78,Smart Phonics 5 : Student Book (New Edition) : 스마트 파닉스  편집부,11700,11700,0
도서/음반,학습/수험,91,권당사은품) 2020 비상 개념플러스유형 라이트 파워 오투 한끝 과학 수학 중학 중등,14400,14400,0
도서/음반,학습/수험,92,오투 중등과학 3-2 (2020년) : 2015 개정 교육과정  편집부,15300,15300,0
도서/음반,학습/수험,93,2020년 신사고 고등 쎈 수학 시리즈 베이직 라이트 개념 기출 상 하 1 2 미적분 기하 확률과통계 고1 2 3,10800,10800,0
도서/음반,학습/수험,94,2020 1.2학기 EBS 초등 기본서 만점왕 국어 수학 사회 과학 플러스 평가문제집 1.2.3.4.5.6 학년 선택,9900,9900,0
도서/음반,학습/수험,95,[동아출판]동아 전과 / 백점 국과사/ 백점 전과목 세트 2학기 선택구매 (1-2. 2-2. 3-2. 4-2. 5-2. 6-2),38130,38130,7
도서/음반,가정/생활/취미/레저,42,첫째 아이 마음 아프지 않게  둘째 아이 마음 흔들리지 않게  이보연,13500,13500,0
도서/음반,가정/생활/취미/레저,43,권당가제손수건증정/한그릇뚝딱 유아식이유식/임신출산육아대백과 최신개정판(2020)/청림라이프/삼성출판사,25200,25200,0
도서/음반,가정/생활/취미/레저,44,사자 웃으며 키우기,12600,12600,0
도서/음반,가정/생활/취미/레저,45, 큐넷/산업인력공단기능사  2020 Win-Q 기능사 합격도서모음전(최신판),18000,18000,0
도서/음반,만화/잡지,64,문학동네 청소년 문학 세계를 건너 너에게 갈게 체리새우 비밀글입니다 괴물 한쪽눈을 뜨다 창밖의 아이들,7920,7920,0
도서/음반,만화/잡지,65,전생했더니 슬라임이었던 건에 대하여 만화책 1-10 11 12 13 14 15 16 권 코믹 마물의 나라를 즐기는법,6300,6300,0
도서/음반,만화/잡지,66,손봄북스 연의 편지 단행본 웹툰 만화책,13500,13500,0
도서/음반,만화/잡지,67,신과 함께 전8권 박스세트 / 애니북스 / 볼펜+붙이는메모지,86400,86400,0
도서/음반,만화/잡지,68,오가 카즈오 화집  오가 카즈오 그림,22500,22500,0
여행,여행소품,1,와이파이도시락 국내데이터 30일동안 매일 3GB(총90GB) / NO약정 기간연장가능 30일렌탈,33000,33000,0
여행,G9 해외패키지,9,싱가포르 유니버셜 스튜디오 입장권+언리미티드 익스프레스 세트,138800,138800,0
여행,G9 해외패키지,10,|카드할인5%|싱가포르 리버사파리 입장권,23000,23000,0
여행,G9 해외패키지,11,|카드할인5%|싱가포르 동물원 N 트램,19100,19100,0
여행,G9 해외패키지,12,|카드할인5%|코타키나발루 공항- 호텔 픽업 차량 서비스,12500,12500,0
여행,G9 해외패키지,13,|카드할인5%|나트랑 빈펄 랜드 입장권+케이블카,35800,35800,0
도서/음반,경제/경영/개발,19,킵고잉 (KEEP GOING) : 나는 월 천만 원을 벌기로 결심했다  주언규,15300,15300,0
도서/음반,경제/경영/개발,20,바젤3 모멘트 [개정판] [좋은땅] [박홍기],17100,17100,0
도서/음반,경제/경영/개발,21,수오서재 하버드 상위 1퍼센트의 비밀 더 해빙 나는 인생에서 중요한 것만 남기기로 했다 해빗 시작의 기술,13320,13320,0
도서/음반,경제/경영/개발,22,더 해빙  [수오서재] [이서윤  홍주연] 부와 행운을 끌어당기는 힘,14400,14400,0
도서/음반,경제/경영/개발,23,맨큐의 경제학 [8판] [한티미디어] [N.Gregory Mankiw],42000,42000,0
도서/음반,인문/사회/과학/IT,36,한국 고소설 강의,25200,25200,0
도서/음반,인문/사회/과학/IT,37,Do it  점프 투 파이썬  박응용,16920,16920,0
도서/음반,인문/사회/과학/IT,38,파이썬 for Beginner  우재남,23000,23000,0
도서/음반,인문/사회/과학/IT,39,소프트웨어 공학의 모든 것,29100,29100,0
도서/음반,인문/사회/과학/IT,40,Do it  점프 투 파이썬 + 딥러닝 입문  박응용 박해선,34740,34740,0
도서/음반,해외원서,79,Bricks Reading 100 1 : 영어학습 1년 - 2년차  ,13500,13500,0
도서/음반,해외원서,80,Smart Choice 2 : Student Book with Online Practice  3/E  Ken Wilson,23000,23000,0
도서/음반,해외원서,81,(NEW) Bricks Reading 300 2  2/E  임미정  장인선 외 4명,13500,13500,0
도서/음반,해외원서,82,Advanced Engineering Mathematics (Paperback / 10th Ed.) - International Student Version,44550,44550,0
도서/음반,해외원서,83,English for Everyday Activities : A Picture Process Dictionary : 일상 생활 영어 표현   그림 사전  Lawrence ...,10200,10200,0
도서/음반,학습/수험,96,추가할인) 중등 문제집 체크체크 국어 수학 사회 과학 역사 1~3학년 1학기 2학기,13500,13500,0
도서/음반,학습/수험,97,[쎈]권당 사은품/ 2020 2학기 신사고 쎈 중등 수학 /개념쎈/ 라이트쎈/ 쎈수학 (5권구매시 교사용증정),11700,11700,0
도서/음반,학습/수험,98,EBS 초등 만점왕 1학기 2학기 세트 3 4 5 6 선택 (가방없음),30600,30600,0
도서/음반,학습/수험,99,2020 마더텅 중학영문법 3800제 스타터 MP3 중학영어듣기 모의 중간 기말 고사 대비 서술형 중 1 2 3 학년,9000,9000,0
도서/음반,학습/수험,100,동아 초능력 초고필 빠작 국어 독해/수학연산/맞춤법 받아쓰기(마이너스옵션) - 만오천원이상 무배,18000,18000,50
도서/음반,가정/생활/취미/레저,46,악필 고치는 손글씨 연습 1 2 교정 책 / 가장 쉬운 독학 예쁜 / 노트 바르다 핸디 스프링,7920,7920,0
도서/음반,가정/생활/취미/레저,47,뇌 튼튼 백세인생 가로세로 낱말 퀴즈 1-4권 세트(전4권),10800,10800,0
도서/음반,가정/생활/취미/레저,48,가디언 식객 허영만의 백반기행 책,15300,15300,0
도서/음반,가정/생활/취미/레저,49,비에이블 맛있게 살 빠지는 고단백 저탄수화물 다이어트 레시피 책,15750,15750,0
도서/음반,가정/생활/취미/레저,50,에이든 우리나라 전국 여행지도   Mini Guide Book(개정판),16830,16830,0
도서/음반,만화/잡지,69,과학동아 (월간) : 9월 [2020]  동아사이언스과학동아편집부,11870,11870,0
도서/음반,만화/잡지,70,전25권 + 사은품 / 만화 오늘부터 신령님 1~25권 세트 / 붙이는메모지+볼펜증정,105300,105300,0
도서/음반,만화/잡지,71,CITY HUNTER 시티헌터 완전판 박스세트 (vol.1~3권)세트  호조 츠카사,218700,218700,0
도서/음반,만화/잡지,72,슬램덩크 오리지널 판 1-31 박스세트  이노우에 타케히코,166500,166500,0
도서/음반,만화/잡지,73,큐티아이 (격월간) : 9 10월호 [2020] : 엄마랑 아빠랑 같이 하는 유아 매일성경  성서유니온선교회 편집부,5700,5700,0
도서/음반,만화/잡지,74,5권이상 주문시 증정 / 허영만의 식객 1 ~ 27 선택구매 / 김영사,7650,7650,0
도서/음반,만화/잡지,75,엘르 브라이드 ELLE BRIDE (계간) 9월호 - 2020 가을  겨울호,8070,8070,0
도서/음반,만화/잡지,76,하늘은 붉은 강가 애장판 1-16권 세트  시노하라 치에,92160,92160,0
여행,여행소품,2,와이파이도시락 국내데이터 15GB / NO약정 기간연장가능 30일렌탈 / 포켓와이파이 에그대여 무선인터넷,15500,15500,0
여행,여행소품,3,와이파이도시락 국내데이터 30일동안 매일 10GB(총300GB) / NO약정 기간연장가능 30일렌탈,53000,53000,0
여행,여행소품,4,다용도 수납짱짱 방수 파우치/여행/화장품 가방,8000,8000,0
여행,여행소품,5,와이파이도시락 국내데이터 30일동안 매일 1GB(총30GB) / NO약정 기간연장가능 30일렌탈,21000,21000,0
여행,여행소품,6,특대형 신형 하비타프 차박 캠핑  타프쉘 화이트,110000,110000,0
여행,여행소품,7,대전 계룡 개발계획도 전도 지도 150x210cm 코팅 대형,100000,100000,0
여행,여행소품,8,허리에 차는 가방  물병 홀더  방수  여행용  캠핑용,61100,61100,0
여행,여행소품,9,[LG전자][SKT 기기변경] LG 벨벳 5G / 선택약정25% / 현금완납,550000,550000,0
여행,G9 해외패키지,14,|카드할인5%|나트랑 두카쇼,15100,15100,0
여행,G9 해외패키지,15,|카드할인5%|싱가포르 나이트 사파리 N 트램,26030,26030,0
여행,G9 해외패키지,16,|카드할인5%|영국 런던아이 입장권[Fast입장권],43800,43800,0
여행,G9 해외패키지,17,|카드할인5%|치앙마이 짚라인 zipline (이글트랙),54300,54300,0
여행,G9 해외패키지,18,방콕 칼립소쇼 (칼립소 카바레쇼) 입장권 + 디너뷔페,48700,48700,0
여행,G9 해외패키지,19,|카드할인5%|방콕 화이트 오키드 리버 크루즈,24800,24800,0
도서/음반,경제/경영/개발,24,초격차 : 리더의 질문 : 위기와 기회의 시대  기업의 길을 묻다  권오현,16200,16200,0
도서/음반,경제/경영/개발,25,존리의 부자되기 습관 : 대한민국 경제독립 액션 플랜  존리,13500,13500,0
도서/음반,경제/경영/개발,26,부의 본능 [토트] [브라운스톤 ] 슈퍼리치가 되는 9가지 방법,12420,12420,0
도서/음반,경제/경영/개발,27,베이직북스 - 육아서 2종(칼비테의자녀교육법유대인의밥상머리자녀교육법),29800,29800,0
도서/음반,경제/경영/개발,28,김미경의 리부트 : 코로나로 멈춘 나를 다시 일으켜 세우는 법  김미경,14400,14400,0
도서/음반,경제/경영/개발,29,더 해빙 The Having : 부와 행운을 끌어당기는 힘  이서윤 홍주연,14400,14400,0
도서/음반,경제/경영/개발,30,하버드 상위 1퍼센트의  비밀 [리커버에디션] [한국경제신문] [정주영] 신호를 차단하고 깊이 몰입하라,14400,14400,0
도서/음반,경제/경영/개발,31,부의 인문학 : 슈퍼리치의 서재에서 찾아낸 부자의 길,13500,13500,0
도서/음반,인문/사회/과학/IT,41,명품 HTML5+CSS3+Javascript 웹 프로그래밍  황기태,28000,28000,0
도서/음반,인문/사회/과학/IT,42,[예약판매]화양연화 - 삶이 꽃이 되는 순간 대본집 1~2권 세트 - 전희영 대본집,29700,29700,0
도서/음반,인문/사회/과학/IT,43,사피엔스 : 유인원에서 사이보그까지  인간 역사의 대담하고 위대한 질문  유발 하라리,19800,19800,0
도서/음반,인문/사회/과학/IT,44,Joy쌤의 누구나 쉽게치는 K-POP 초급편 시즌2 3 4 5 중급편 / 피아노 악보 가요 실용반 교재,6300,6300,0
도서/음반,인문/사회/과학/IT,45,한번도 경험해보지 못한 나라,16020,16020,0
도서/음반,인문/사회/과학/IT,46,당신은 뇌를 고칠 수 있다 [브론스테인] [톰 오브라이언] 매주 1시간 투자하여 최상의 기억력  생산성  수면을 얻는 법,17820,17820,0
도서/음반,인문/사회/과학/IT,47,힐링 코드[최신 개정증보판] [시공사] [알렉산더 로이드  벤 존슨] 평생 병 걱정 없이 사는 하루 6분의 비밀,15120,15120,0
도서/음반,인문/사회/과학/IT,48,C로 배우는 쉬운 자료구조  이지영,27000,27000,0
도서/음반,인문/사회/과학/IT,49,예루살렘의 아이히만 [한길사] [한나 아렌트],19800,19800,0
도서/음반,인문/사회/과학/IT,50,이기적 유전자 [40주년기념판] [을유문화사] [리처드 도킨스],18000,18000,0
도서/음반,인문/사회/과학/IT,51,유아문학교육 [3판] [창지사] [서정숙  남규],24000,24000,0
도서/음반,인문/사회/과학/IT,52,리더라면 정조처럼 : 정조대왕의 숨겨진 리더십 코드 5049  김준혁,16200,16200,0
도서/음반,해외원서,84,Alice s Adventures in Wonderland : 로버트 사부다 팝업북 : 이상한 나라의 앨리스  Lewis Carroll  Robert Sabuda,25200,25200,0
